id,name,username
1908078548,Rich Handler,HandlerRich
29515247,Melissa Francis,MelissaAFrancis
13416712,Adam Lashinsky,adamlashinsky
436990599,Paul Hodgson,pghwrites
74130577,Emily Chang,emilychangtv
252751061,Bloomberg Quicktake,Quicktake
16399949,felix salmon,felixsalmon
14078468,Aaron Task,aarontask
8524892,Pearl,ppearlman
114782468,Carl Quintanilla,carlquintanilla
553036368,Joe Kernen,JoeSquawk
404422077,Squawk Box,SquawkCNBC
106498703,Squawk on the Street,SquawkStreet
587814366,Delivering Alpha,DeliveringAlpha
12794362,ReutersBreakingviews,Breakingviews
816653,TechCrunch,TechCrunch
45564482,New York Magazine,NYMag
14885549,Forbes Tech,ForbesTech
17469289,New York Post,nypost
145753556,Kaja Whitehouse,kajawhitehouse
15836769,dealbreaker,dealbreaker
106878438,Erik Schatzker,ErikSchatzker
110974198,Betty Liu,BettyWLiu
65127277,Stephen Foley,stephenfoley
32718488,Vivek Wadhwa,wadhwa
263671861,Cristina Alesci,CristinaAlesci
5988062,The Economist,TheEconomist
87798068,Techland,Techland
87818409,The Guardian,guardian
15723933,TIMEBusiness,TIMEBusiness
15110357,Reuters Business,ReutersBiz
4898091,Financial Times,FinancialTimes
1754641,NYT Business,nytimesbusiness
1979601391,ed hammond,EdHammondNY
807095,The New York Times,nytimes
9089942,Michael de la Merced,m_delamerced
22300778,Ben Fox Rubin,benfoxrubin
15164565,Slate,Slate
759251,CNN,CNN
15754281,USA TODAY,USATODAY
39264827,Guy Adami,GuyAdami
7517052,Boring Howard Lindzon,howardlindzon
17027590,The Official Ben Popper,benpopper
275686563,The Verge,verge
2244340904,Recode,Recode
257773267,Mark Berniker,markberniker
468703129,Josh Lipton,joshuahlipton
271211220,Dan Nathan,RiskReversal
56413858,FOX Business,FoxBusiness
1367531,Fox News,FoxNews
223970563,Neil Cavuto,TeamCavuto
22522178,Downtown Josh Brown,Downtown
305115361,Jonathan Weil,JonathanWeil
3630501,David Gelles,dgelles
14293310,TIME,TIME
28164923,WSJ Markets,WSJmarkets
18856867,zerohedge,zerohedge
25330246,T. Boone Pickens,boonepickens
352947624,GSElevator,GSElevator
1344951,WIRED,WIRED
16184358,CNN Business,CNNBusiness
3108351,The Wall Street Journal,WSJ
25053299,FORTUNE,FortuneMagazine
67358777,Businessweek,BW
16732770,CNBC's Fast Money,CNBCFastMoney
19775788,Linette Lopez,lopezlinette
188343397,Julia La Roche,JuliaLaRoche
26009167,Maureen Farrell,maureenmfarrell
24410456,Jeff Macke,JeffMacke
18378349,Keith McCullough,KeithMcCullough
624413,MarketWatch,MarketWatch
108230576,Brian Solomon,Brian_Solomon
218503228,Phil Wahba,philwahba
14615027,Matt Vella,mattvella
223646111,Nadia Damouni,NadiaSpeaks
13475802,John Paczkowski🤪,JohnPaczkowski
90407034,𝚐𝚛𝚎𝚐 𝚋𝚎𝚗𝚜𝚒𝚗𝚐𝚎𝚛.,GregBensinger
233704756,Scarlet Fu,scarletfu
18858395,WSJ MoneyBeat,WSJMoneyBeat
16386284,Steven Russolillo,srussolillo
216798259,Tiernan Ray,TiernanRayTech
28140646,WSJ Business News,WSJbusiness
91478624,Forbes,Forbes
34713362,Bloomberg,business
19546277,Yahoo Finance,YahooFinance
35002876,Bloomberg TV,BloombergTV
21778391,CNBC's Closing Bell,CNBCClosingBell
18949452,Financial Times,FT
20562637,Business Insider,BusinessInsider
26574283,CNBC Now,CNBCnow
98151325,StanfordCorpGov,StanfordCorpGov
468823008,Rana Foroohar,RanaForoohar
869478499,Activist Insight (PROXY VOTING REVIEW OUT NOW),ActivistInsight
111153996,Rock Center for Corporate Governance at Stanford,StanfordRock
49410168,Harvard Law School Program on Corporate Governance,HarvardCorpGov
26231816,Robert AG Monks,BobMonksNews
382685028,Stephanie Ruhle,SRuhle
163538563,Adam Johnson,AJInsight
68739089,Charles Gasparino,CGasparino
208155240,Maria Bartiromo,MariaBartiromo
110302086,Jennifer Ablan,jennablan
114599241,Dave Benoit,DaveCBenoit
14216123,Jim Cramer,jimcramer
257513690,Nathan Vardi,nathanvardi
156981152,Steven Bertoni,StevenBertoni
140912249,David Faber,davidfaber
138182116,Trish Regan,trish_regan
263197731,Scott Wapner,ScottWapnerCNBC
